"id_citation1","study_id","citation_line"
"144","190","""St. Croix, USVI Fish Assessment and Monitoring Data (2002 - Present)"", (2007) Silver Spring, MD Publisher: NOAAs Ocean Service, National Centers for Coastal Ocean Science (NCCOS). National Oceanic and Atmospheric Association (NOAA)-National Ocean Service (NOS)-National Centers for Coastal Ocean Science (NCCOS)-Center for Coastal Monitoring and Assessment (CCMA)-Biogeography Team. Available at: http://www.iobis.org/mapper/?dataset=1673, accessed 2012."
"145","191","""NEFSC Benthic Database (OBIS-USA)"", (2010) Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. Available at: http://www.iobis.org/mapper/?dataset=1694, accessed 2012."
"146","192","""Whale Catches in Southern Ocean"". OBIS - Australian Antarctic Data Centre. Available at: http://www.iobis.org, accessed 2013."
"150","194","Jones, J. & Miller, J. ""Spatial and temporal distribution and abundance of moths in the Andrews Experimental Forest, 1994 to 2008"". H. J. Andrews Experimental Forest. Forest Science Data Bank, Corvallis. Available at: http://andrewsforest.oregonstate.edu/data/abstract.cfm?dbcode=SA015, accessed 2013."
"151","195","USGS Patuxent Wildlife Research Center “North American Breeding Bird Survey” ftp data set, version 2014.0. Available at: ftp://ftpext.usgs.gov/pub/er/md/laurel/BBS/DataFiles/, accessed 2013."
"152","196","Moore, J. J. & Howson, C. M. “Survey of the rocky shores in the region of Sullom Voe, Shetland, A report to SOTEAG from Aquatic Survey & Monitoring Ltd”, Cosheston, Pembrokeshire. 29 p. Available at: http://www.soteag.org.uk, accessed 2013."
"155","199","Shao, K. T., Lin, J., Wu, C.-H., Yeh, H.-M. & Cheng, T.-Y. (2012) ""A dataset from bottom trawl survey around Taiwan"". Available at: http://www.iobis.org, accessed 2013."
"156","200","""NEFSC Benthic Database (OBIS-USA)"", (2010) Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. Available at: http://www.iobis.org/mapper/?dataset=1694, accessed 2012."
"157","201","Fletcher, C. & Kassim, A.R. Pasoh Forest Dynamics Plot Data.  Available at: http://www.ctfs.si.edu/site/Pasoh/, accessed 2013."
"158","202","Sukumar, R. Mudumalai Forest Dynamics Plot Data. Available at: http://www.ctfs.si.edu/site/Mudumalai/, accessed 2013."
"159","204","Degraer, S., Wittoeck, J., Appeltans, W., Cooreman, K., Deprez, T., Hillewaert, H., Hostens, K., Mees, J., Vanden Berghe, E. & Vincx, M. (2006) “Macrobel: Long term trends in the macrobenthos of the Belgian Continental Shelf.” Oostende, Belgium. Available at: http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=145, accessed 2013."
"166","211","Reichert, M. (2010) “MARMAP Fly Net 1990-2009”. SCDNR/NOAA MARMAP Program, SCDNR MARMAP Aggregate Data Surveys, The Marine Resources Monitoring, Assessment, and Prediction (MARMAP) Program, Marine Resources Research Institute, South Carolina Department of Natural Resources USA. Available at: http://www.usgs.gov/obis-usa/, accessed 2013."
"167","212","Reichert, M. (2010) “MARMAP Yankee Trawl 1990-2009”. SCDNR/NOAA MARMAP Program, SCDNR MARMAP Aggregate data surveys, The Marine Resources Monitoring, Assessment, and Prediction (MARMAP) Program, Marine Resources Research Institute, South Carolina Department of Natural Resources USA. Available at: http://www.usgs.gov/obis-usa, accessed 2013."
"168","213","""Northeast Fisheries Science Center Bottom Trawl Survey Data (OBIS-USA)."" (2005) NOAA’s National Marine Fisheries Service (NMFS) Northeast Fisheries Science Center. Woods Hole, Massachusetts, USA. Available at: http://www.iobis.org/mapper/?dataset=1435, accessed 2013."
"169","214","Harmon, M. & Franklin, J. (2012) “Long-term growth, mortality and regeneration of trees in permanent vegetation plots in the Pacific Northwest, 1910 to present.” Long-Term Ecological Research. Forest Science Data Bank, Corvallis. Available at: http://andrewsforest.oregonstate.edu/data/abstract.cfm?dbcode=TV010, accessed 2012."
"172","217","USFS “Landbird Monitoring Program (UMT-LBMP).” US Forest Service. Available at: http://www.avianknowledge.net/, accessed 2012."
"176","221","Viereck, L.A., Van Cleve, K., Chapin, F.S., Ruess, R.W. & Hollingsworth, T.N. (2005) Vegetation Plots of the Bonanza Creek LTER Control Plots: Species Count (1975 - 2004). Environmental Data Initiative. Available at: http://dx.doi.org/10.6073/pasta/8dd0e1ac48e2f82b51adabfbd3c62ae2, accessed 2012."
"177","224","Cavender-Bares, J. & Reich, P.B. (2012) Shocks to the system: community assembly of the oak savanna in a 40?year fire frequency experiment. Ecology, 93"
"178","224","Reich, P., Wedin, D., Hobbie, S. & Davis, M. “Experiment 133 - Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments - Shrub Survey”. Cedar Creek Ecosystem Science Reserve. Available at: http://www.cedarcreek.umn.edu/research/data/experiment?e133, accessed 2012."
"179","225","Shochat, E., Katti, M. & Warren, P. (2004) “Point count bird censusing: long-term monitoring of bird distribution and diversity in central Arizona-Phoenix: period 2000 to 2011”. Central Arizona-Phoenix Long-Term Ecological Research. Global Institute for Sustainability, Arizona State University. Available at: https://caplter.asu.edu/data/data-catalog/?id=46, accessed 2012."
"180","226","Ohmart, R., Pearson, D., Hostetler, M., Katti, M. & Hulen, T. (2003) “Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area: period 1998 to 2000.” Central Arizona-Phoenix Long-Term Ecological Research. Global Institute for Sustainability, Arizona State University. Available at: https://caplter.asu.edu/data/data-catalog/?id=43, accessed 2012."
"181","227","Hale, S. S., Hughes, M. M., Strobel, C. J., Buffum, H. W., Copeland, J. L. & Paul, J. F. (2002) Coastal ecological data from the Virginian Biogeographic Province, 1990–1993. Ecology, 83, 2942."
"182","228","Hale, S. S., Hughes, M. M., Strobel, C. J., Buffum, H. W., Copeland, J. L. & Paul, J. F. (2002) Coastal ecological data from the Virginian Biogeographic Province, 1990–1993. Ecology, 83, 2942."
"183","229","McLarney, W. O., Meador, J. & Chamblee, J. (2010) “Upper Little Tennessee River Biomonitoring Program Database.” Coweeta Long Term Ecological Research Program. Available at: https://coweeta.uga.edu/dbpublic/dataset_details.asp?accession=4045, accessed 2012."
"184","230","Gaiser, E. (2010) Macrophyte count data collected from Northeast Shark Slough, Everglades National Park (FCE) from September 2006 to Present. Environmental Data Initiative. Available at: http://dx.doi.org/10.6073/pasta/effd9e98134913af21b670febebd6233, accessed 2012."
"185","231","Trexler, J. (2007) “Consumer Stocks: Fish, Vegetation, and other Non-physical Data from Everglades National Park (FCE), South Florida from February 2000 to Present.” Florida Coastal Everglades LTER Program. Available at: http://fcelter.fiu.edu/data/core/metadata/EML/?datasetid=LT_CD_Trexler_001, accessed 2012."
"186","232","Williams, D. “Pelagic Fish Observations 1968-1999.” Australian Antarctic Data Centre. Available at: http://www.gbif.org/dataset/85b0a82a-f762-11e1-a439-00145eb45e9a, accessed 2012."
"187","233","Foster, D., Von Holle, B. & Parshall, T. (2006) “Land Use on the Southern New England and New York Coasts 1600-2001. Harvard Forest Data Archive: HF044.” The Harvard Forest Long Term Ecological Research Program. Available at: http://harvardforest.fas.harvard.edu:8080/exist/xquery/data.xq?id=hf044, accessed 2013."
"188","234","Battles, J.J., Fahey, T. & Cleavitt, N. “Forest Inventory of a Northern Hardwood Forest: Watershed 6 1965, Hubbard Brook Experimental Forest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=29, accessed 2016."
"189","234","Battles, J.J., Fahey, T. & Cleavitt, N. “Forest Inventory of a Northern Hardwood Forest: Watershed 6 1977, Hubbard Brook Experimental Forest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=30, accessed 2016."
"190","234","Battles, J.J., Fahey, T. & Cleavitt, N. “Forest Inventory of a Northern Hardwood Forest: Watershed 6 1987, Hubbard Brook Experimental Forest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=32, accessed 2016."
"191","234","Battles, J.J., Fahey, T. & Cleavitt, N. “Forest Inventory of a Northern Hardwood Forest: Watershed 6 1992, Hubbard Brook Experimental Forest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=33, accessed 2016."
"192","234","Battles, J.J., Fahey, T. & Cleavitt, N. “Forest Inventory of a Northern Hardwood Forest: Watershed 6 1997, Hubbard Brook Experimental Forest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=34, accessed 2016."
"193","234","Battles, J.J., Fahey, T.  & Cleavitt, N. “Forest Inventory of a Northern Hardwood Forest: Watershed 6 1982, Hubbard Brook Experimental Forest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=31, accessed 2016."
"194","234","Battles, J.J., Johnson, C., Hamburg, S., Fahey, T., Driscoll, C. & Likens, G. (2003) “Forest Inventory of a Northern Hardwood Forest: Watershed 6 2002.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=35, accessed 2012."
"195","235","Battles, J.J., Fahey, T. & Cleavitt, N. (2003) “Forest Inventory of a Whole Tree Harvest: Hubbard Brook Experimental Forest Watershed 5, 1982, pre-harvest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=36, accessed 2012."
"196","235","Battles, J.J., Fahey, T. & Cleavitt, N. (2013) “Forest Inventory of a Whole Tree Harvest: Hubbard Brook Experimental Forest Watershed 5, 1990, 7 years post-harvest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=37, accessed 2016."
"197","235","Battles, J.J., Fahey, T. & Cleavitt, N. (2013b) “Forest Inventory of a Whole Tree Harvest: Hubbard Brook Experimental Forest Watershed 5, 1994, 10 years post-harvest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=38, accessed 2016."
"198","235","Battles, J.J., Fahey, T. & Cleavitt, N. (2013c) “Forest Inventory of a Whole Tree Harvest: Hubbard Brook Experimental Forest Watershed 5, 1999, 15 years post-harvest.” The Hubbard Brook Ecosystem Study LTER Program.  Available at: http://www.hubbardbrook.org/data/dataset.php?id=39, accessed 2016."
"199","236","Gido, K. B. “Fish population on selected watersheds at Konza Prairie - CFP01.” Konza Prairie LTER Program. Available at: http://www.konza.ksu.edu/KNZ/pages/data/Knzdsdetail.aspx?datasetCode=CFP01, accessed 2012."
"200","237","Lathrop, R. (2000) “Madison Wisconsin Lakes Zooplankton 1976 - 1994.” North Temperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: http://lter.limnology.wisc.edu/dataset/madison-wisonsin-lakes-zooplankton-1976-1994, accessed 2013."
"201","238","NTL LTER (2011) “North Temperate Lakes LTER: Zooplankton - Madison Lakes Area 1997 - current.” North Temperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: http://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-madison-lakes-area-1997-current, accessed 2013."
"202","239","Muldavin, E. “Pinon Juniper Net Primary Production Quadrat Data from the Sevilleta National Wildlife Refuge, New Mexico: 1999-2001.” Sevilleta Long Term Ecological Research Program. Available at: http://sev.lternet.edu/data/sev-187, accessed 2013."
"203","240","Muldavin, E. “Pinon-Juniper (Core Site) Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge, New Mexico (2003-Present).” Sevilleta Long Term Ecological Research Program. Available at: http://sev.lternet.edu/node/1718, accessed 2013."
"204","241","Condit, R. “Sherman Forest Dynamics Plot, Panama.” The Center for Tropical Forest Science. Smithsonian Tropical Research Institute.  Available at: http://www.ctfs.si.edu/site/Sherman/, accessed 2013."
"205","242","Paquette, A., Laliberté, E., Bouchard, A., Blois, S. de, Legendre, P. & Brisson, J. (2007) Lac Croche understory vegetation data set (1998–2006). Ecology, 88, 3209. doi:10.1890/07-0513.1"
"206","243","Day, F. (2010) “Long-term N-fertilized vegetation plots on Hog Island, Virginia Coastal Barrier Islands, 1992-2014.” Virginia Coast Reserve Long-Term Ecological Research Project. Available at: http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.106, accessed 2013."
"207","243","Day, F. P., Conn, C., Crawford, E. & Stevenson, M. (2004) Long-term effects of nitrogen fertilization on plant community structure on a coastal barrier island dune chronosequence. Journal of Coastal Research, 20, 722–730."
"209","245","Stevens, M. (2010) “Trekvis - Migratory fishes in the river Scheldt.” Research Institute for Nature and Forest (INBO). Available at: http://www.gbif.org/dataset/b2d0f29e-4614-4001-93c8-f651878a86d2, accessed 2014."
"210","246","Chen, H., Liao, Y.-C., Chen, C.-Y., Tsai, J.-I., Chen, L.-S. & Shao, K.-T. (2015) Long-term monitoring dataset of fish assemblages impinged at nuclear power plants in northern Taiwan. Scientific data, 2, 150071."
"211","247","Rudstam, L. (2008) “Zooplankton survey of Oneida Lake, New York, 1964 – 2012”, KNB Data Repository. Available at: https://knb.ecoinformatics.org/#view/kgordon.17.56, accessed 2016."
"212","248","Shi, Z., Sherry, R., Xu, X., Hararuk, O., Souza, L., Jiang, L., Xia, J., Liang, J. & Luo, Y. (2015) Evidence for long-term shift in plant community composition under decadal experimental warming. Journal of Ecology, 103, 1131-1140."
"213","249","Thomsen, P.F., Jørgensen, P.S., Bruun, H.H., Pedersen, J., Riis-Nielsen, T., Jonko, K., S?owi?ska, I., Rahbek, C. & Karsholt, O. (2016) Resource specialists lead local insect community turnover associated with temperature – analysis of an 18-year full-seasonal record of moths and beetles. Journal of Animal Ecology, 85, 251-261."
"214","252","Reichert, M. (2010) “MARMAP Blackfish Trap Survey 1990-2009”. SCDNR/NOAA MARMAP Program. SCDNR MARMAP Aggregate Data Surveys. The Marine Resources Monitoring. Assessment. and Prediction (MARMAP) Program. Marine Resources Research Institute. South Carolina Department of Natural Resources USA. Available at: http://www.usgs.gov/obis-usa/. accessed 2013."
"215","253","NTL LTER “North Temperate Lakes LTER: Zooplankton - Trout Lake Area 1982 - current.” NorthTemperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-trout-lake-area-1982-current, accessed 2013."
"216","254","NTL LTER “North Temperate Lakes LTER: Phytoplankton - Madison Lakes Area 1995 - current.” North Temperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-phytoplankton-madison-lakes-area-1995-current, accessed 2013."
"217","255","Woods, K. D. (2009) Multi-decade, spatially explicit population studies of canopy dynamics in Michigan old-growth forests. Ecology, 90, 3587."
"219","257","Lathrop, R. (2000) “Madison Wisconsin Lakes Zooplankton 1976 - 1994.” North Temperate Lakes Long Term Ecological Research Program, Center for Limnology, University of Wisconsin-Madison. Available at: http://lter.limnology.wisc.edu/dataset/madison-wisonsin-lakes-zooplankton-1976-1994, accessed 2013."
"220","270","Lloret, F., Peñuelas, J. & Estiarte, M. (2004) Experimental evidence of reduced diversity of seedlings due to climate modification in a Mediterranean-type community. Global Change Biology, 10, 248–258. doi:10.1111/j.1365-2486.2004.00725.x."
"221","271","Reed, D. C. (2014a) “SBC LTER: Reef: Kelp forest community dynamics: Abundance and size of giant kelp (Macrocystis pyrifera), ongoing since 2000”. Santa Barbara Coastal LTER. Available at: http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.18, accessed 2016. doi:10.6073/pasta/d90872297e30026b263a119d4f5bca9f"
"222","272","Reed, D. C. (2014b) “SBC LTER: Reef: Kelp forest community dynamics: Fish abundance”. Santa Barbara Coastal LTER. Available at: http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.17, accessed 2016. doi:10.6073/pasta/e37ed29111b2fddffc08355252b8b8c7."
"223","273","Reed, D. C. (2014c) “SBC LTER: Reef: Kelp forest community dynamics: Invertebrate and algal density”. Santa Barbara Coastal LTER. Available at: http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.19, accessed 2016. doi:10.6073/pasta/cd4cf864efecd69891dfe1d73b9ac9c3."
"224","274","Reed, D. C. (2014d) “SBC LTER: Reef: Kelp forest community dynamics: Cover of sessile organisms, Uniform Point Contact”. Santa Barbara Coastal LTER. Available at: http://sbc.lternet.edu/cgi-bin/showDataset.cgi?docid=knb-lter-sbc.15, accessed 2016. doi:10.6073/pasta/f906c91e98c2a5fe752dfa0ccdc8895f."
"225","275","Davis, R. A. & Doherty, T. S. (2015) Rapid Recovery of an Urban Remnant Reptile Community following Summer Wildfire. PLoS ONE 10(5), e0127925. doi: 10.1371/journal.pone.0127925."
"226","276","Karatayev, V. A., Karatayev, A. Y., Burlakova, L. E. & Rudstam, L. G. (2014) Eutrophication and Dreissena Invasion as Drivers of Biodiversity: A Century of Change in the Mollusc Community of Oneida Lake. PLoS ONE, 9(7), e101388. doi:10.1371/journal.pone.0101388."
"230","278","""South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System"". Ocean Biogeographic Information System. Occurrence Dataset. Available at: https://doi.org/10.15468/zuuiyu, accessed 2012."
"234","280","Wacasey, J., Atkinson, E., Derick, L. & Weinstein, A. ""Zoobenthos data from the southern Beaufort Sea"". Available at: http://www.iobis.org/mapper/?dataset=4461, accessed 2012."
"235","280","Wacasey, J., Atkinson, E., Derick, L. & Weinstein, A. (1977) Zoobenthos data from the southern Beaufort Sea. Fisheries and Environment Canada. Fisheries and Marine Service Data report 41, Arctic Biological Station fisheries and Marine Service Department of Fisheries and the Environment; Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks."
"236","281","""Southeast Fisheries Science Center, National Oceanic and Atmospheric Administration. NOAA Southeast Fishery Science Center (SEFSC) Fisheries Log Book System (FLS) Commercial Pelagic Logbook Data"". Available at: http://www.iobis.org/mapper/?dataset=1496, accessed 2012."
"237","282","Hopky, G.E., Lawrence, M.J. & Chiperzak, D.B. ""Beaufort Sea NOGAP2 Zooplankton - NOGAP B2, Zooplankton Data from the Canadian Beaufort Sea Shelf, 1987-1988"". Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"238","282","Hopky, G.E., Lawrence, M.J. & Chiperzak, D.B. ""Beaufort Sea NOGAP3 Zooplankton - NOGAP B3, Zooplankton Data from the Canadian Beaufort Sea Shelf, 1986"". Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"239","283","Hopky, G.E., Lawrence, M.J. & Chiperzak, D.B. ""Beaufort Sea NOGAP2 Zooplankton - NOGAP B2, Zooplankton Data from the Canadian Beaufort Sea Shelf, 1987-1988"". Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"240","283","Hopky, G.E., Lawrence, M.J. & Chiperzak, D.B. ""Beaufort Sea NOGAP3 Zooplankton - NOGAP B3, Zooplankton Data from the Canadian Beaufort Sea Shelf, 1986"". Arctic Ocean Diversity, University of Alaska Fairbanks, Fairbanks. Available at: http://www.arcodiv.org/Database/Plankton_datasets, accessed 2012."
"241","284","""Previous_fisheries_REVIZEE_Program"", accessed through Tropical and Subtropical Western South Pacific OBIS. Available at: http://www.iobis.org/mapper/?dataset=2411, accessed 2012."
"242","285","""Previous_fisheries_REVIZEE_Program"", accessed through Tropical and Subtropical Western South Pacific OBIS. Available at: http://www.iobis.org/mapper/?dataset=2411, accessed 2012."
"243","286","Sherman, S. (2010) ""Maine Department of Marine Resources Inshore Trawl Survey, 2000 – 2009"". Maine Department of Marine Resources, Maine. Available at: http://www.usgs.gov/obis-usa/data_search_and_access/datasets.html, accessed 2012."
"244","287","Sherman, S. (2010) ""Maine Department of Marine Resources Inshore Trawl Survey, 2000 – 2009"". Maine Department of Marine Resources, Maine. Available at: http://www.usgs.gov/obis-usa/data_search_and_access/datasets.html, accessed 2012."
"245","288","Clark, D. & Branton, B. (2007) DFO Maritimes Research Vessel Trawl Surveys, OBIS Canada Digital Collections. Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada, OBIS Canada,"
"246","289","Clark, D. & Branton, B. (2007) DFO Maritimes Research Vessel Trawl Surveys, OBIS Canada Digital Collections. Bedford Institute of Oceanography, Dartmouth, Nova Scotia, Canada, OBIS Canada,"
"247","290","""CSIRO Marine Data Warehouse - OBIS Australia"", CSIRO Division of Marine and Atmospheric Research (CMAR), Australia. Available at http://www.iobis.org, accessed 2012."
"248","291","""CSIRO Marine Data Warehouse - OBIS Australia"", CSIRO Division of Marine and Atmospheric Research (CMAR), Australia. Available at http://www.iobis.org, accessed 2012."
"249","292","""CSIRO Marine Data Warehouse - OBIS Australia"", CSIRO Division of Marine and Atmospheric Research (CMAR), Australia. Available at http://www.iobis.org, accessed 2012."
"251","294","Bonebrake, T.C., Pickett, E.J., Tsang, T.P., Tak, C.Y., Vu, M.Q. & Van Vu, L. (2016) Warming threat compounds habitat degradation impacts on a tropical butterfly community in Vietnam. Global Ecology and Conservation, 8, 203-211."
"252","294","Vu, L. V. (2009) Diversity and similarity of butterfly communities in five different habitat types at Tam Dao National Park, Vietnam. Journal of Zoology, 277, 15–22. doi:10.1111/j.1469-7998.2008.00498.x"
"253","295","Edgar, G. J. & Stuart-Smith, R. D. (2014) Systematic global assessment of reef fish communities by the Reef Life Survey program. Nature Scientific Data 1, 140007. doi:10.1038/sdata.2014.7."
"254","296","Edgar, G. J. & Stuart-Smith, R. D. (2014) Systematic global assessment of reef fish communities by the Reef Life Survey program. Nature Scientific Data 1, 140007. doi:10.1038/sdata.2014.7."
"255","297","Carpenter, R. (2015) “MCR LTER: Coral Reef: Long-term Population and Community Dynamics: Other Benthic Invertebrates, ongoing since 2005”. Moorea Coral Reef LTER, knb-lter-mcr.7.28.  Available at: doi:10.6073/pasta/8e7b3a0c7a8bf315739921861cc79d10, accessed 2016."
"256","298","Adler, P.B., Tyburczy, W.R. & Lauenroth, W.K. (2007) Long-term mapped quadrats from Kansas prairie: demographic information for herbaceaous plants. Ecology, 88, 2673-2673."
"257","299","Dapporto, L. (2009) Core and satellite butterfly species on Elba island (Tuscan Archipelago, Italy). A study on persistence based on 120 years of collection data. Journal of Insect Conservation, 13, 421–428."
"258","300","Landis, D. & Gage, S. (2014) Insect Populations via Sticky Traps at KBS-LTER. Available at: http://lter.kbs.msu.edu/datatables/67, accessed 2016."
"259","301","Joern, A. (2016) CGR02 Sweep Sampling of Grasshoppers on Konza Prairie LTER watersheds (1982-present). Environmental Data Initiative. Available at: http://dx.doi.org/10.6073/pasta/7060b2c244229a37e3bfc8c18f14ad02, accessed 2016."
"260","301","Jonas, J.L. & Joern, A. (2007) Grasshopper (Orthoptera: Acrididae) communities respond to fire, bison grazing and weather in North American tallgrass prairie: a long-term study. Oecologia, 153, 699-711."
"261","302","Barreto, T.E. Patterns and processes affecting the dynamics and structure of seasonally semi-deciduous forests in SE of Brazil.University of Campinas, PhD thesis.  Accessed 2016."
"262","303","Salami, B., Higuchi, P., Silva, A. C., Ferreira, T. S., Marcon, A. K., Buzzi Jr, F. & Bento, M. A. (2014) Influência de variáveis ambientais na dinâmica do componente arbóreo em um fragmento de Floresta Ombrófila Mista em Lages, SC. Scientia Forestalis (IPEF), 42, 197–207."
"263","304","Privett, S., Cowling, R. & Taylor, H. (2001) Thirty years of change in the fynbos vegetation of the Cape of Good Hope Nature Reserve, South Africa. Bothalia, 31(1), 99–115. doi:10.4102/abc.v31i1.509."
"264","304","Taylor, H. (1984) A vegetation survey of the Cape of Good Hope Nature Reserve. I. The use of association-analysis and Braun-Blanquet methods. Bothalia, 15, 245–258."
"265","304","Thuiller, W., Slingsby, J. A., Privett, S. D. J. & Cowling, R. M. (2007) Stochastic Species Turnover and Stable Coexistence in a Species-Rich, Fire-Prone Plant Community. PLoS ONE, 2(9), e938. doi:10.1371/journal.pone.0000938"
"266","305","Wiley, R. H. “Population estimates of Appalachian salamanders”. Coweeta LTER. Available at: http://coweeta.uga.edu/eml/1044.xml, accessed 2016."
"267","306","Brook, B.W., Traill, L.W. & Bradshaw, C.J. (2006) Minimum viable population sizes and global extinction risk are unrelated. Ecology letters, 9, 375-382."
"268","306","NERC (2010) “The Global Population Dynamics Database Version 2”. Centre for Population Biology, Imperial College. Available at: http://www.sw.ic.ac.uk/cpb/cpb/gpdd.html, accessed 2016."
"269","307","“The Main Cropping System Experiment (MCSE)”. KBS LTER, Kellogg Biological Station. Available at: http://lter.kbs.msu.edu/research/long-term-experiments/main-cropping-system-experiment/, accessed 2016."
"270","308","Merritt, J. (1999) Long Term Mammal Data from Powdermill Biological Station 1979-1999. Environmental Data Initiative. Available at: http://dx.doi.org/10.6073/pasta/83c888854e239a79597999895bb61cfe, accessed 2016."
"272","310","Sal, S., López-Urrutia, Á., Irigoien, X., Harbour, D. S. & Harris, R. P. (2013) Marine microplankton diversity database. Ecology, 94, 1658. http://dx.doi.org/10.1890/13-0236.1."
"273","311","Kaufman, D.W. Seasonal summary of numbers of small mammals on 14 LTER traplines in prairie habitats at Konza Prairie. Konza Prairie Long-Term Ecological Research. Available at: http://lter.konza.ksu.edu/content/csm01-seasonal-summary-numbers-small-mammals-14-lter-traplines-prairie-habitats-konza, accessed 2016."
"274","312","Prins, H. H. T. & Douglas-Hamilton, I. (1990) Stability in a Multi-Species Assemblage of Large Herbivores in East Africa. Oecologia, 83, 392–400."
"275","313","Knops, J. & Tilman, D. Successional Dynamics on a Resampled Chronosequence - Experiment 014. Cedar Creek Ecosystem Science Reserve. Available at http://www.cedarcreek.umn.edu/research/data/dataset?ghe014, accessed 2016."
"276","314","Knops, J. & Tilman, D. Successional Dynamics on a Resampled Chronosequence - Experiment 014. Cedar Creek Ecosystem Science Reserve. Available at http://www.cedarcreek.umn.edu/research/data/dataset?ghe014, accessed 2016."
"277","321","Lightfoot, D. & Schooley, R. L. “SMES rodent trapping data, Small Mammal Exclosure Study”. Jornada LTER. Available at: http://jornada.nmsu.edu/sites/jornada.nmsu.edu/files/data_files/JornadaStudy_086_smes_rodent_trapping_data_0.csv, accessed 2016."
"278","366","Lightfoot, D. “Small Mammal Exclosure Study (SMES)”. Sevilleta Long Term Ecological Research Program. Available at: http://sev.lternet.edu/content/small-mammal-exclosure-study-smes-0, accessed 2016."
"279","317","Twilley, R., Rivera-Monroy, V. H. & Castaneda, E. (2005) “Mangrove Forest Growth from the Shark River Slough, Everglades National Park (FCE), South Florida from January 1995 to Present”. Florida Coastal Everglades LTER. http://dx.doi.org/10.6073/pasta/bec6c029df692768f349106c69162df7. Available at: http://fcelter.fiu.edu/data/core/metadata/?datasetid=LT_PP_Rivera_002, accessed 2016."
"281","319","Wilgers, D. J., Horne, E. A., Sandercock, B. K. & Volkmann, A. W. (2006) Effects of rangeland management on community dynamics of the herpetofauna of the tallgrass prairie. Herpetologica, 62, 378–388."
"282","315","Lightfoot, D. (2007) “Jornada Grasshopper Data”. Jornada Basin LTER. Available at: http://jornada.nmsu.edu/lter/dataset/49712/view, accessed 2016."
"283","322","Farah, F. T., Rodrigues, R. R., Santos, F. A. M., Tamashiro, J. Y., Shepherd, G. J., Siqueira, T., Batista, J. L. F. & Manly, B. J. F. (2014) Forest destructuring as revealed by the temporal dynamics of fundamental species – Case study of Santa Genebra Forest in Brazil. Ecological Indicators, 37, 40–44. http://dx.doi.org/10.1016/j.ecolind.2013.09.011."
"284","323","Reagan, D.P. (1991) The response of Anolis lizards to hurricane-induced habitat changes in a Puerto Rican rain forest. Biotropica, 23, 468-474."
