SURVEY	YEAR	MONTH	DATE	SITE	BLOCK	TREATMENT	PLOT	REBAR	NIGHT	SPECIES	CAPTURE	SEX	CONDITION	AGE	LEFT_HIND_FOOT	LEFT_TAG	ORIGINAL_TAG	ID	MARKS	WEIGHT	notes
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	1C	3	Mana	C	m	N	A		B1 622/B1 610	B1 622/B1 610	773	0	41	
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	1F	3	UMus	C	m	N	A				1063	1	4.5	
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	3E	3	UMus	C	f	N	A				1061	1	5	
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	4C	3	Acke	R								1		
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	4E	3	UMus	R								1		
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	4F	3	UMus	C	m	S	A				1064	1	5.6	
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	5G	3	UMus	C	f	N	A				1062	1	5.6	
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	6E	3	UMus	R								1		
10	2010	November	18-Nov-10	SOUTH	3	OPEN	S3OPEN	7C	3	UMus	C	f	N	A				1060	1	4.8	
10	2010	November	19-Nov-10	SOUTH	3	OPEN	S3OPEN	5D	4	UMus	C	m	S	A				1072	1	4.5	
10	2010	November	19-Nov-10	SOUTH	3	OPEN	S3OPEN	5G	4	Acke	R								1		
10	2010	November	19-Nov-10	SOUTH	3	OPEN	S3OPEN	6B	4	UMus	C	f	N	A				1071	1	5.6	
10	2010	November	19-Nov-10	SOUTH	3	OPEN	S3OPEN	7C	4	Same	R					B1 643/B1 644	B1 643/B1 644	1341	0		
10	2010	November	16-Nov-10	SOUTH	3	TOTAL	S3TOTAL	1F	1	Gero	R	m	S	A		191/x3438	x3437/x3438	664	0	105	
10	2010	November	16-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2A	1	Gero	R	f	N	A		x3447/B1 698	x3447/x3448	2297	0	90	Right tag replaced
10	2010	November	16-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3A	1	Gero	R	m	S	A		7\17	7\17	529	0	94	
10	2010	November	16-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3E	1	UMus	C	m	S	A				1044	1	7.7	
10	2010	November	16-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3F	1	UMus	C	f	L	A				1039	1	6.8	
10	2010	November	16-Nov-10	SOUTH	3	TOTAL	S3TOTAL	4B	1	Same	R	f	N	A		162/3	162/3	1318	0	73	
10	2010	November	16-Nov-10	SOUTH	3	TOTAL	S3TOTAL	4F	1	Same	R	f	N	A		B1 550/B1 549	B1 550/B1 549	1336	0	71	
10	2010	November	16-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5C	1	Acke	C	m	S	A				189	1	25	Tailless
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	1D	2	Aehi	C	f	N	A		B1 635/B1 632	B1 635/B1 632	261	0	83	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	1F	2	Aehi	C	m	S	A		B1 634/B1 645	B1 634/B1 645	260	0	112	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2A	2	Acke	C	f	P	A				195	1	38	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2B	2	Same	C	f	N	A		B1 642/B1 636	B1 642/B1 636	1339	0	60	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2E	2	Elru	R	f	N	A		DL 76/B1 417	DL76/B1 417	486	0	68	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3A	2	Gero	R					x3447/B1 698	x3447/x3448	2297	0		
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3E	2	Gero	R					191/x3438	x3437/x3438	664	0		
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	4B	2	Same	R					162/3	162/3	1318	0		
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	4F	2	Same	R					B1 550/B1 549	B1 550/B1 549	1336	0		
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5A	2	Gero	R					7\17	7\17	529	0		
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5B	2	UMus	C	f	N	A				1056	1	5.3	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5C	2	Acke	R								1		
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5D	2	Same	R	m	S	A		1/138	1/138	1315	0	94	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5G	2	Same	C	f	N	A		B1 663/B1 641	B1 663/B1 641	1343	0	64	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	6C	2	Acke	C	f	N	A				194	1	27	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	6E	2	UMus	C	m	S	A				1059	1	6.4	
10	2010	November	17-Nov-10	SOUTH	3	TOTAL	S3TOTAL	6G	2	UMus	C	f	N	A				1055	1	5.3	
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	1B	3	UMus	C	f	N	A				1065	1	5.7	
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2B	3	Gero	R	f	N	A		x3464/B1 614	x3464/x3462	668	0	84	Right tag replaced
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2C	3	Same	R					B1 642/B1 636	B1 642/B1 636	1339	0		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2F	3	Gero	R					191/x3438	x3437/x3438	664	0		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3A	3	Gero	R					x3447/B1 698	x3447/x3448	2297	0		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3D	3	UMus	C	f	P	A				1066	1	6.9	
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3F	3	Gero	C	m	S	A		B1 613/B1 619	B1 613/B1 619	560	0	88	
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	4A	3	Gero	R					7\17	7\17	529	0		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	4B	3	Same	R					162/3	162/3	1318	0		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5C	3	Acke	R								1		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5D	3	Same	R					1/138	1/138	1315	0		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5G	3	Same	R					B1 663/B1 641	B1 663/B1 641	1343	0		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	6E	3	Acke	R								1		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	6G	3	Acke	C	m	S	A				200	1	20	
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	7A	3	Elru	C	m	N	A		B1 648/B1 608	B1 648/B1 608	459	0	48	
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	7B	3	UMus	R								1		
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	7E	3	UMus	C	m	N	A				1070	1	5.1	
10	2010	November	18-Nov-10	SOUTH	3	TOTAL	S3TOTAL	7G	3	Gero	R	m	N	A		13/183	13/183	514	0	74	
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	1A	4	Gero	R					x3464/B1 614	x3464/x3462	668	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	1D	4	Aehi	R	m	S	A		192/B1 824	192/195	251	0	123	Right tag replaced
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	1G	4	Same	R					1/138	1/138	1315	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2C	4	Same	R					B1 642/B1 636	B1 642/B1 636	1339	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2F	4	Elru	R					DL 76/B1 417	DL76/B1 417	486	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	2G	4	Gero	R					191/x3438	x3437/x3438	664	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	3D	4	UMus	R								1		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	4F	4	Same	R					B1 550/B1 549	B1 550/B1 549	1336	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5A	4	Acke	R								1		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5A	4	Gero	R					7\17	7\17	529	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	5G	4	Same	R					B1 663/B1 641	B1 663/B1 641	1343	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	6A	4	Same	R					162/3	162/3	1318	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	6F	4	Gero	R					x3447/B1 698	x3447/x3448	2297	0		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	6G	4	Acke	R								1		
10	2010	November	19-Nov-10	SOUTH	3	TOTAL	S3TOTAL	7B	4	Acke	R								1		
11	2011	January	25-Jan-11	CENTRAL	1	OPEN	C1OPEN	2C	1	UMus	C	f	N	A				1148	1	4.2	
11	2011	January	26-Jan-11	CENTRAL	1	OPEN	C1OPEN		2												Nothing caught
11	2011	January	27-Jan-11	CENTRAL	1	OPEN	C1OPEN		3												Nothing caught
11	2011	January	28-Jan-11	CENTRAL	1	OPEN	C1OPEN		4												Nothing caught
11	2011	January	25-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	1B	1	UMus	C	f	N	A				1154	1	4.4	
11	2011	January	25-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	4F	1	Same	C	m	S	A		B1 809/B1 837	B1 809/B1 837	1353	0	87	
11	2011	January	25-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	5A	1	Elru	C	f	N	A		B1 833/B1 856	B1 833/B1 856	473	0	43	
11	2011	January	26-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	2B	2	Elru	R					B1 833/B1 856	B1 833/B1 856	473	0		
11	2011	January	26-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	4E	2	Croc	C	f	N	A				408	1	7.4	
11	2011	January	26-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	5E	2	UMus	C	m	S	A				1157	1	5.9	
11	2011	January	27-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	4F	3	Same	R					B1 809/B1 837	B1 809/B1 837	1353	0		
11	2011	January	27-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	7G	3	UMus	C	m	N	A				1165	1	4.6	
11	2011	January	28-Jan-11	CENTRAL	1	TOTAL	C1TOTAL	5F	4	Same	R					B1 809/B1 837	B1 809/B1 837	1353	0		
11	2011	January	25-Jan-11	CENTRAL	2	OPEN	C2OPEN		1												Nothing caught
11	2011	January	26-Jan-11	CENTRAL	2	OPEN	C2OPEN	2D	2	Taha	C	m	N	J		B1 845/B1 843	B1 845/B1 843	1437	0	50	
11	2011	January	27-Jan-11	CENTRAL	2	OPEN	C2OPEN		3												Nothing caught
11	2011	January	28-Jan-11	CENTRAL	2	OPEN	C2OPEN		4												Nothing caught
11	2011	January	25-Jan-11	CENTRAL	2	TOTAL	C2TOTAL	1C	1	UMus	C	f	N	A				1155	1	4.8	
11	2011	January	25-Jan-11	CENTRAL	2	TOTAL	C2TOTAL	7F	1	Elru	R	f	P	A		x3982/x3030	 x3982/x3030	425	0	68	
11	2011	January	26-Jan-11	CENTRAL	2	TOTAL	C2TOTAL	5B	2	Same	C	f	N	A		B1 815/B1 846	B1 815/B1 846	1354	0	63	
11	2011	January	27-Jan-11	CENTRAL	2	TOTAL	C2TOTAL	3B	3	Elru	C	f	N	A		B1 838/B1 834	B1 838/B1 834	474	0	54	
11	2011	January	27-Jan-11	CENTRAL	2	TOTAL	C2TOTAL	5A	3	UMus	C	m	S	A				1166	1	5.3	
11	2011	January	28-Jan-11	CENTRAL	2	TOTAL	C2TOTAL		4												Nothing caught
11	2011	January	25-Jan-11	CENTRAL	3	OPEN	C3OPEN	3E	1	UMus	C	m	N	J				1149	1	2.8	
11	2011	January	26-Jan-11	CENTRAL	3	OPEN	C3OPEN		2												Nothing caught
11	2011	January	27-Jan-11	CENTRAL	3	OPEN	C3OPEN	6B	3	UMus	C	f	P	A				1158	1	5.1	
11	2011	January	28-Jan-11	CENTRAL	3	OPEN	C3OPEN		4												Nothing caught
11	2011	January	25-Jan-11	CENTRAL	3	TOTAL	C3TOTAL	2C	1	Gero	R	m	S	A		B1 689/B1 692	B1 689/B1 692	570	0	94	
11	2011	January	25-Jan-11	CENTRAL	3	TOTAL	C3TOTAL	6E	1	UMus	C	f	N	A				1150	1	4.3	
11	2011	January	25-Jan-11	CENTRAL	3	TOTAL	C3TOTAL	6E	1	UMus	C	m	S	A				1156	1	5	
11	2011	January	26-Jan-11	CENTRAL	3	TOTAL	C3TOTAL	1E	2	Gero	C	m	S	A		B1 850/B1 835	B1 850/B1 835	585	0	89	
11	2011	January	26-Jan-11	CENTRAL	3	TOTAL	C3TOTAL	2A	2	Gero	R					B1 689/B1 692	B1 689/B1 692	570	0		
11	2011	January	27-Jan-11	CENTRAL	3	TOTAL	C3TOTAL		3												Nothing caught
11	2011	January	28-Jan-11	CENTRAL	3	TOTAL	C3TOTAL	6B	4	UMus	C	f	N	A				1167	1	5.6	
11	2011	January	28-Jan-11	CENTRAL	3	TOTAL	C3TOTAL	6F	4	UMus	C	m	N	A				1168	1	4.2	
11	2011	February	1-Feb-11	NORTH	1	OPEN	N1OPEN		1												Nothing caught
11	2011	February	2-Feb-11	NORTH	1	OPEN	N1OPEN		2												Nothing caught
11	2011	February	3-Feb-11	NORTH	1	OPEN	N1OPEN		3												Nothing caught
11	2011	February	4-Feb-11	NORTH	1	OPEN	N1OPEN		4												Nothing caught
11	2011	February	1-Feb-11	NORTH	1	TOTAL	N1TOTAL	5F	1	UMus	C	m	S	A				1113	1	8.2	
11	2011	February	1-Feb-11	NORTH	1	TOTAL	N1TOTAL	6E	1	UMus	C	f	N	A				1110	1	6.3	
11	2011	February	2-Feb-11	NORTH	1	TOTAL	N1TOTAL	2C	2	UMus	C	f	P	A				1114	1	7.4	
11	2011	February	2-Feb-11	NORTH	1	TOTAL	N1TOTAL	4B	2	UMus	C	m	S	A				1116	1	6.8	
11	2011	February	2-Feb-11	NORTH	1	TOTAL	N1TOTAL	5F	2	UMus	R								1		
11	2011	February	3-Feb-11	NORTH	1	TOTAL	N1TOTAL	1D	3	UMus	C	f	N	A				1119	1	5.7	
11	2011	February	3-Feb-11	NORTH	1	TOTAL	N1TOTAL	3A	3	Acke	C	m	S	A				209	1	26	
11	2011	February	3-Feb-11	NORTH	1	TOTAL	N1TOTAL	6E	3	UMus	R								1		
11	2011	February	4-Feb-11	NORTH	1	TOTAL	N1TOTAL	3B	4	Acke	R								1		
11	2011	February	4-Feb-11	NORTH	1	TOTAL	N1TOTAL	4C	4	UMus	C	f	P	A				1124	1	6.7	
11	2011	February	4-Feb-11	NORTH	1	TOTAL	N1TOTAL	5D	4	UMus	C	m	S	A				1126	1	6	
11	2011	February	4-Feb-11	NORTH	1	TOTAL	N1TOTAL	7F	4	UMus	C	m	N	A				1125	1	5.4	
11	2011	February	1-Feb-11	NORTH	2	OPEN	N2OPEN	1G	1	Taha	C	m	S	A		B1 867/B1 836	B1 867/B1 836	1438	0	43	
11	2011	February	1-Feb-11	NORTH	2	OPEN	N2OPEN	7F	1	Gero	C	m	N	J		B1 854/B1 811	B1 854/B1 811	586	0	30	
11	2011	February	2-Feb-11	NORTH	2	OPEN	N2OPEN		2												Nothing caught
11	2011	February	3-Feb-11	NORTH	2	OPEN	N2OPEN		3												Nothing caught
11	2011	February	4-Feb-11	NORTH	2	OPEN	N2OPEN		4												Nothing caught
11	2011	February	1-Feb-11	NORTH	2	TOTAL	N2TOTAL		1												Nothing caught
11	2011	February	2-Feb-11	NORTH	2	TOTAL	N2TOTAL	6A	2	UMus	C	m	N	A				1115	1	5.8	
11	2011	February	3-Feb-11	NORTH	2	TOTAL	N2TOTAL	3F	3	UMus	C	m	N	J				1122	1	3.4	
11	2011	February	3-Feb-11	NORTH	2	TOTAL	N2TOTAL	3F	3	UMus	C	f	N	A				1118	1	4.8	
11	2011	February	3-Feb-11	NORTH	2	TOTAL	N2TOTAL	5B	3	UMus	C	f	N	A				1117	1	26	
11	2011	February	4-Feb-11	NORTH	2	TOTAL	N2TOTAL	4A	4	UMus	C	f	N	A				1123	1	4.8	
11	2011	February	4-Feb-11	NORTH	2	TOTAL	N2TOTAL	5B	4	UMus	R								1		
11	2011	February	1-Feb-11	NORTH	3	OPEN	N3OPEN	2C	1	UMus	C	f	N	A				1108	1	4	
11	2011	February	2-Feb-11	NORTH	3	OPEN	N3OPEN		2												Nothing caught
11	2011	February	3-Feb-11	NORTH	3	OPEN	N3OPEN		3												Nothing caught
11	2011	February	4-Feb-11	NORTH	3	OPEN	N3OPEN		4												Nothing caught
11	2011	February	1-Feb-11	NORTH	3	TOTAL	N3TOTAL	2F	1	UMus	C	f	P	A				1112	1	5.3	
11	2011	February	1-Feb-11	NORTH	3	TOTAL	N3TOTAL	4F	1	Taha	C	m	S	A		B1 841/B1 890	B1 841/B1 890	1436	0	44	
11	2011	February	1-Feb-11	NORTH	3	TOTAL	N3TOTAL	5D	1	UMus	C	f	N	A				1109	1	4.3	
11	2011	February	1-Feb-11	NORTH	3	TOTAL	N3TOTAL	5F	1	?	C	f	N	A		B1 860/B1 810	B1 860/B1 810	1468	0	57	
11	2011	February	2-Feb-11	NORTH	3	TOTAL	N3TOTAL	2F	2	UMus	R								1		
11	2011	February	2-Feb-11	NORTH	3	TOTAL	N3TOTAL	5E	2	Gero	R					B1 860/B1 810	B1 860/B1 810	1468	0		
11	2011	February	3-Feb-11	NORTH	3	TOTAL	N3TOTAL	1G	3	Taha	R					B1 841/B1 890	B1 841/B1 890	1436	0		
11	2011	February	3-Feb-11	NORTH	3	TOTAL	N3TOTAL	2A	3	Gero	C	f	N	J		B1 831/B1 865	B1 831/B1 865	583	0	54	
11	2011	February	3-Feb-11	NORTH	3	TOTAL	N3TOTAL	2B	3	Taha	C	m	S	A		B1 839/B1 863	B1 839/B1 863	1435	0	37	
11	2011	February	3-Feb-11	NORTH	3	TOTAL	N3TOTAL	2G	3	UMus	C	m	S	A				1121	1	4.4	
11	2011	February	3-Feb-11	NORTH	3	TOTAL	N3TOTAL	4F	3	Gero	C	f	N	J					0		Escaped
11	2011	February	3-Feb-11	NORTH	3	TOTAL	N3TOTAL	7D	3	UMus	C	f	P	A				1120	1	5	
11	2011	February	3-Feb-11	NORTH	3	TOTAL	N3TOTAL	7E	3	Gero	C	m	N	A		B1 832/B1 814	B1 832/B1 814	584	0	79	
11	2011	February	4-Feb-11	NORTH	3	TOTAL	N3TOTAL	1F	4	Taha	R					B1 841/B1 890	B1 841/B1 890	1436	0		
11	2011	February	4-Feb-11	NORTH	3	TOTAL	N3TOTAL	2B	4	Taha	R					B1 839/B1 863	B1 839/B1 863	1435	0		
11	2011	January	19-Jan-11	SOUTH	1	OPEN	S1OPEN	2E	1	Same	C	m	S	A		B1 884/B1 897	B1 884/B1 897	1361	0	63	
11	2011	January	20-Jan-11	SOUTH	1	OPEN	S1OPEN	4A	2	UMus	C	m	N	A				1135	1	3.7	
11	2011	January	20-Jan-11	SOUTH	1	OPEN	S1OPEN	5C	2	UArvi	C	f	N	A		B1 875/B1 892	B1 875/B1 892	363	0	69	
11	2011	January	21-Jan-11	SOUTH	1	OPEN	S1OPEN	4C	3	UArvi	C	m	S	A		B1 851/B1 853	B1 851/B1 853	360	0	85	
11	2011	January	21-Jan-11	SOUTH	1	OPEN	S1OPEN	5C	3	Same	R	f	N	A		B1 656/B1 664	B1 656/B1 664	2301	0	45	
11	2011	January	22-Jan-11	SOUTH	1	OPEN	S1OPEN	4B	4	UMus	C	f	N	A				1152	1	4.2	
11	2011	January	19-Jan-11	SOUTH	1	TOTAL	S1TOTAL	1A	1	UMus	C	m	N	A				1133	1	8.1	
11	2011	January	19-Jan-11	SOUTH	1	TOTAL	S1TOTAL	1G	1	Aehi	R	f	P	A		160/170	160/170	245	0	108	
11	2011	January	19-Jan-11	SOUTH	1	TOTAL	S1TOTAL	3F	1	Aehi	C	f	L	A		B1 806/B1 897	B1 806/B1 897	276	0	92	
11	2011	January	19-Jan-11	SOUTH	1	TOTAL	S1TOTAL	5A	1	Acke	C	m	S	A				214	1	30	
11	2011	January	19-Jan-11	SOUTH	1	TOTAL	S1TOTAL	5B	1	UArvi	R	f	P	A		B1 898/B1 668	B1 669/B1 668	350	0	82	Left tag replaced
11	2011	January	19-Jan-11	SOUTH	1	TOTAL	S1TOTAL	6B	1	Acke	C	m	S	A				215	1	31	
11	2011	January	19-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7C	1	Aehi	C	f	N	J		B1 876/B1 877	B1 876/B1 877	281	0	33	
11	2011	January	19-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7G	1	Same	R	m	S	A		x3506/x3501	x3506/x3501	1392	0	88	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	2G	2	Same	C	f	N	A		B1 866/B1 862	B1 866/B1 862	1359	0	65	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	3D	2	Croc	C	f	N	A				409	1	14	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	3G	2	Aehi	R					B1 806/B1 897	B1 806/B1 897	276	0		
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	4B	2	Acke	R								1		
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	4F	2	Acke	C	m	S	A				221	1	30	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	4G	2	UMus	C	f	P	A				1139	1	5.7	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	5A	2	UArvi	R	f	N	A		x3595/x3539	x3519/x3539	387	0	73	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	5E	2	Acke	R								1		
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	6A	2	Acke	C	f	N	A				219	1	26	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7A	2	Same	C	m	S	A		B1 871/B1 873	B1 871/B1 873	1360	0	60	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7B	2	Same	R					x3506/x3501	x3506/x3501	1392	0		
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7D	2	Aehi	R					B1 876/B1 877	B1 876/B1 877	281	0		
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7F	2	UMus	C	m	S	A				1140	1	8.5	
11	2011	January	20-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7G	2	Acke	C	f	N	A				218	1	21	
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	1F	3	UMus	C	f	P	A				1145	1	9.1	
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	2G	3	Aehi	R					B1 806/B1 897	B1 806/B1 897	276	0		
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	3D	3	UArvi	C	f	N	J		B1 874/B1 857	B1 874/B1 857	362	0	33	
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	4A	3	Acke	R								1		
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	4B	3	Same	R	f	N	A		15/6	15/6	1317	0		
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	4F	3	Acke	R								1		
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	5C	3	Acke	R								1		
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7A	3	UArvi	R					B1 898/B1 668	B1 669/B1 668	350	0		
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7B	3	Same	R					B1 871/B1 873	B1 871/B1 873	1360	0		
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7C	3	Same	R					x3506/x3501	x3506/x3501	1392	0		
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7D	3	UArvi	R	m	S	A		B1 869/x3554	x3586/x3554	391	0	84	Left tag replaced
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7F	3	UMus	C	m	S	A				1146	1	5.4	
11	2011	January	21-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7G	3	UMus	R								1		
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	1D	4	Gero	R	m	S	A		x3566/x3564	x3566/x3564	684	0	102	
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	1F	4	Aehi	C	m	S	A		B1 829/B1 861	B1 829/B1 861	278	0	104	
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	2B	4	Aehi	C	f	N	A		B1 830/B1 828	B1 830/B1 828	279	0	79	
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	2G	4	UArvi	R	m	S	A		10\11	10\11	332	0	72	
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	3D	4	UArvi	R					B1 874/B1 857	B1 874/B1 857	362	0		
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	3F	4	UArvi	C	f	N	A		B1 878/B1 859	B1 878/B1 859	364	0	76	
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	4A	4	Acke	R								1		
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	4B	4	Same	R					15/6	15/6	1317	0		
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	5A	4	UArvi	R					x3595/x3539	x3519/x3539	387	0		
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	5E	4	UMus	R								1		
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	6B	4	UArvi	C	m	N	J		B1 812/B1 813	B1 812/B1 813	359	0	44	
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7A	4	UMus	C	m	N	A				1161	1	5	
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7D	4	Same	R					x3506/x3501	x3506/x3501	1392	0		
11	2011	January	22-Jan-11	SOUTH	1	TOTAL	S1TOTAL	7G	4	Acke	R								1		
11	2011	January	19-Jan-11	SOUTH	2	OPEN	S2OPEN	1A	1	UMus	C	m	N	A				1128	1	6.4	
11	2011	January	19-Jan-11	SOUTH	2	OPEN	S2OPEN	1B	1	Same	R	f	N	A		186/181	186/181	1323	0	58	
11	2011	January	19-Jan-11	SOUTH	2	OPEN	S2OPEN	1D	1	Aehi	C	m	N	A		B1 899/B1 894	B1 899/B1 894	284	0	86	
11	2011	January	19-Jan-11	SOUTH	2	OPEN	S2OPEN	3F	1	Same	R	f	N	A		B1 611/B1 612	B1 611/B1 612	1337	0	67	
11	2011	January	19-Jan-11	SOUTH	2	OPEN	S2OPEN	5E	1	UMus	C	m	S	A				1129	1	4.7	
